text,sentiment
حتى انا مايطلعوليش,1
,0
بلاهي تحيا ألسي فتحي العكاري على الدور البو إلي يخاف على عيلتو,0
بلحق ماهوش راجل و مرتو ارجل منو و زاد طرد بنتو الي معندها حتى ذنب,-1
وين الحلقة كاملة فولوجة 2,0
فلوجة ❤,0
وش عملت فهموني,0
أنا جاركم من الجزائر منين نكمل فلوجة 2 ،؟,0
واش كن قناة يمشي,0
مسلسل تافه,-1
كان جيت بو!!! يعلمو في الصغار يطيحو قدر والديهم,-1
حتوا حلقة كاملة خاطر أجمل نخدموا في الليل علي قل نتفروجوا فيه في اليوتيوب اقروا حساب ڤندوزات اللي يخدموا في البوتيك,
وين راح لفلوجة 2 هادا 😂😢,
احلا مسلسلات تونسية من الجزائر 🇩🇿,1
بلاهي لحلقة كاملة,
نكتب جزء الثاني فل فلوجة ميخرجوليش حلقات,
برافووووو ❤❤❤❤,1
يوريك أنو أم تعمل كل شي على خاتر صغارها بطبيعة الي عملتو ميجيش أما ملقاتش حل أخر بش تاخو حق بنتها وبو موش هنا,
حلقة كاملة وين,
وين لقطة العركه ؟,
احسن لقطة هي وقت المعركة في الليسي😅,1
من فضلكم حطو حلقة كاملة,
بقيت لقتتي,
شكون عجبو دوري في المسلسل ❤,1
بليز هبطو الحلقات كاملة ❤❤❤,
سامي الفهري سرطان التلفزة,
وين نبقا جزء التاني ؟؟,
ابراهيم اكيد اهله غصبو عليه العرس من طفلة ميحبهاش,
سامي الفهري لله لا تربحكم تو هذا مسلسل يمثل تونس رديتنا اروبا 🤔🤔🤔🤔,-1
هو مسلسل محلاه اما اللي عمل المونتاج ياسر حاجة تردد كل لقطة في بلاصة هذا كان مش كل يوم لقطة و الموسيقى و كيفاش كيف يبدأ حد يمشي لازم يتبعوا من راس النهج حتى للي يدخل هكا بدا يمساط و زيد وصلنا للحلقة العاشرة و مازلتوا في القشور ما فماش أحداث مهمة و زيد لكلكم تعرفوا اللي تونس لكل تستنى في نوح و نور و إبراهيم ورحمة كنتوا تنجموا تعملوا سيناريو ماخير يكمل الجزء الأول و يكون أقوى صحيح احسن مسلسل في الموجودين لكن عمناول خير ❤❤,0
ابراهيم حبو يحاوزوه من ليكول لاخطر مدين 😅تقول هوما كفار ومنعرف يخي افكار عندهم,
حطوا الحلقة كاملة عيشكم ولا بدلو الوقت لاخاطر نكونو نغسلو في الماعن ❤❤❤,
وين نلقا الحلقة كاملة,
علاش ماتعملوش فيديو كامل,
إذا تحب تفرج علي ملخص لحلقة دخلي و شوف  فلوجة جزء 1 و 2 . سوبرمان تونسي . رقوح . لحرقة . أفلام أجنبية 😊,
اكهو علموا الناس كيفاش تخلي الديار وبعد قولوا الطلاق كثر بفففففف,-1
براهيم منجمش يطلع لسطح مريض  بعث مرتو,
ديرولي سيزو 2,
مسلسل هاذا نتاع داسر اهلك بكل يوم صحبة جديدة,
تقصير الام مع ابنتها يمكن يكون له عواقب كارثية,-1
مهمش ريحين يكملوا لمسلسل؟؟والقرايا فين راحت هي جاوبوني تعيشوا ؟؟,
اماقناه تعرض مسلسل هدا,
مشهد واقعي و حسن التصوّر و الانجاز. نرى أمّ عديمة الاهتمام بابنتها و تصبّ كلّ مشاعرها على ابنها و الطفلة تشعر بذلك رغم تظاهر الأم بالعناية بأكلها و صحّتها. لكن الخلل لا يخفى على الطفلة,-1
اعجبني مسلسل فلوجة❤♥️♥️🤩🤩😍🌹🥰🥰😍😍,1
برشا حكايات و الاف قصص في العالم هكا اما خسارة الوالدين مازالوا يظنوا ان الطفل خير من الطفلة لين يكبر بيهم الزمان و يكتشفوا الحقيقة خاصة بعد ما يعرس الطفل و الكنة تولي خايبة معاهم وقتها يندموا على قلة اهتمامهم ببناتهم لين وقت الكبر ما تلقى كان البنية .. يا ريت الناس تزرع الحب في بناتها خاتر الطفل تزرع فيه الخب و الا ما تزرعش فللخر بش تبدلو مرى على امه,
كان لي الشرف انني شاركت في هذه القطعة الفنية مع اجمل الفنانين و الممثلين و التي حققت نجاح كبير و نالت اعجاب جميع الجزائريين أشكركم جزيل الشكر على تعليقاتكم و حبكم و ايمانكم بقدراتي القادم افضل انشاء الله,1
اللي تشوفو فيه الكل موجود و صاير الوالدين لازم يفيقو و يوقضو صغارهم و يحكيو معاهم عالاخطار اللي ينامون يتعرضولها هذا الغرض من المسلسل ...يقلك شوف ثانية الخايبة وين توصلك,-1
تحيا ألبيكا على الدور إلي عملتو,1
يفسدو في الشباب هاذوم,-1
امها عندها جانب نرجسي في شخصيتها و هي انها عمرها لا تقول كلمة طيبة و حنينة على بنتها غير التمييز الواضح بسن ولادها ..موجود في الدنيا و لازم للوالدين يعدلوا بين اولادهم ..و الله يهدي,1
نظن ماهيش بنتهم، مربيينها فقط.. يمكن الأب اشفق عليها ورباها، والأم ماش متقبلتها، وبلال على علم...,0
مسكينة سخفتني امها تحب خوها أكثر منها وعمرها ماصدقتها😢,
ياخي نحب نفهم امها ماتحبهاش؟,
أفضل مسلسل❤,1
على شحال يتعدى في التليفزيون,
مسكينة و الله سخفتني و بصراحة منشوفهش انا أبدا مستفزة كيما قالت !بالعكس نشوفها ضحية إهمال و ضلم أمها  لها + ناس بطبعها خطأة,-1
في فترة المراهقة واحد يشوف معاك و يبتسم لك تحسبو يحبك بلاما يحكي معاك,1
حلقة كاملة,
انا من تونس هل يوجد فتاه من اليمن تريد ان تتزوج وتاتي تعيش معي في تونس,
